epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45234,2.80534,3.13684,2.12825,0,0,0,0,3.98773,3.53782,6.86378,0.000648649,0.000648649,0.000648649
2,14.2587,2.54643,2.72988,1.85968,0,0,0,0,1.98308,23.0156,3.21686,0.00130229,0.00130229,0.00130229
3,20.5962,2.35696,2.46588,1.70243,0.87959,1,0.995,0.10293,3.17454,8.50331,4.63779,0.00194274,0.00194274,0.00194274
4,27.1761,2.27131,2.35385,1.66593,0.95104,1,0.995,0.6965,1.39281,4.25352,1.37041,0.0019406,0.0019406,0.0019406
5,30.4742,2.2094,2.28086,1.61447,0.147,1,0.24875,0.10528,1.52245,4.25138,1.20221,0.0019208,0.0019208,0.0019208
6,36.8881,2.11066,2.13195,1.55366,0.00333,1,0.06219,0.02488,3.10491,4.06479,2.32865,0.001901,0.001901,0.001901
7,43.7209,2.10149,2.11225,1.54134,0.80605,1,0.995,0.56383,1.09464,2.28574,1.07497,0.0018812,0.0018812,0.0018812
8,50.8185,2.04845,2.02258,1.49721,0.23989,1,0.995,0.24046,1.82856,4.2353,1.32143,0.0018614,0.0018614,0.0018614
9,56.8517,1.96462,1.9112,1.44502,0.80717,1,0.995,0.796,1.38401,3.13705,1.17887,0.0018416,0.0018416,0.0018416
10,60.6797,1.94959,1.91908,1.4641,0.71127,1,0.995,0.53067,1.40587,3.49206,1.23208,0.0018218,0.0018218,0.0018218
11,67.4903,1.91286,1.88578,1.41799,0.00333,1,0.03827,0.01913,1.97627,3.63773,1.53077,0.001802,0.001802,0.001802
12,74.0507,1.86326,1.84128,1.41643,0.30618,1,0.4975,0.2985,1.14315,3.57911,1.15694,0.0017822,0.0017822,0.0017822
13,80.7626,1.84312,1.78875,1.38185,0.28783,1,0.4975,0.398,1.21302,3.7031,1.0894,0.0017624,0.0017624,0.0017624
14,87.1452,1.80163,1.73154,1.36053,0.1426,1,0.199,0.1393,1.08969,3.2336,1.13718,0.0017426,0.0017426,0.0017426
15,90.6012,1.75689,1.68434,1.33376,0.5975,1,0.995,0.597,1.5483,2.9471,1.21177,0.0017228,0.0017228,0.0017228
16,96.8785,1.75957,1.65806,1.32632,0.64101,1,0.995,0.6965,1.4654,3.07548,1.2388,0.001703,0.001703,0.001703
17,103.271,1.72572,1.61659,1.32141,0.494,0.988,0.4975,0.2985,1.45604,2.11314,1.2382,0.0016832,0.0016832,0.0016832
18,109.847,1.69898,1.60654,1.31847,0.87549,1,0.995,0.796,1.21836,1.91153,1.09017,0.0016634,0.0016634,0.0016634
19,115.924,1.68021,1.58965,1.30994,0.95085,1,0.995,0.796,0.8625,1.69458,0.92664,0.0016436,0.0016436,0.0016436
20,119.26,1.67144,1.56757,1.26707,0.91259,1,0.995,0.796,1.08618,1.78764,1.03632,0.0016238,0.0016238,0.0016238
21,125.59,1.63225,1.50109,1.25097,0.90656,1,0.995,0.8955,0.74922,1.20894,0.93239,0.001604,0.001604,0.001604
22,131.67,1.62214,1.47698,1.2552,0.62578,1,0.995,0.796,0.75242,2.55953,0.99175,0.0015842,0.0015842,0.0015842
23,138.229,1.6142,1.46936,1.23749,0.92226,1,0.995,0.796,0.8389,2.10151,0.93272,0.0015644,0.0015644,0.0015644
24,145.132,1.61386,1.50656,1.27435,0.82091,1,0.995,0.6965,1.01703,1.61364,1.04871,0.0015446,0.0015446,0.0015446
25,148.455,1.58294,1.44693,1.24601,0.8875,1,0.995,0.6965,1.44587,1.23837,1.14842,0.0015248,0.0015248,0.0015248
26,154.831,1.57933,1.41708,1.21665,0.902,1,0.995,0.8955,0.83008,1.65435,0.94716,0.001505,0.001505,0.001505
