epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.40599,0.92255,2.93014,1.16887,0.0031,1,0.61718,0.52723,0.5059,2.85798,0.95994,0.00021671,0.00021671,0.00021671
2,8.66792,0.77447,1.83358,1.13173,0.00308,1,0.71411,0.6101,0.50547,2.66169,0.9496,0.000445634,0.000445634,0.000445634
3,11.2757,0.80392,1.59943,1.15813,0.00308,1,0.62991,0.51243,0.66583,2.57975,1.05039,0.000669937,0.000669937,0.000669937
4,13.8559,0.82202,1.42553,1.1298,0.90046,0.07893,0.51659,0.39052,1.07509,2.60162,1.33498,0.00088962,0.00088962,0.00088962
5,16.1202,0.84076,1.34898,1.10168,0.93413,0.38773,0.62081,0.41921,1.02847,1.99347,1.34441,0.00110468,0.00110468,0.00110468
6,18.2465,0.80275,1.22673,1.06971,0.75128,0.76668,0.84866,0.63137,0.76815,1.71231,1.1546,0.00131512,0.00131512,0.00131512
7,20.5609,0.81233,1.17934,1.09365,0.84264,0.60022,0.68978,0.55658,0.72899,1.70332,1.14393,0.00152094,0.00152094,0.00152094
8,22.946,0.79584,1.15615,1.09771,0.64394,0.6902,0.64334,0.41817,1.32433,2.043,1.714,0.00155148,0.00155148,0.00155148
9,25.2955,0.77052,1.06747,1.05229,0.75094,0.79042,0.82225,0.6144,0.82231,1.15707,1.15106,0.00153497,0.00153497,0.00153497
10,27.834,0.80888,1.02257,1.07243,0.61423,0.57451,0.572,0.46005,0.9975,1.66181,1.18055,0.00151847,0.00151847,0.00151847
11,29.974,0.80424,1.0365,1.06396,0.87795,0.75934,0.90089,0.71243,0.72159,0.99132,1.06354,0.00150197,0.00150197,0.00150197
12,32.5218,0.79482,0.93787,1.07659,0.98884,0.89479,0.95337,0.75801,0.82699,1.0183,1.1247,0.00148546,0.00148546,0.00148546
13,34.6959,0.78304,0.89575,1.05088,0.91645,0.73823,0.86529,0.68582,0.7438,1.01285,1.0509,0.00146896,0.00146896,0.00146896
14,36.9599,0.78566,0.8366,1.05646,0.93172,0.65954,0.7444,0.60575,0.86894,1.00775,1.09575,0.00145246,0.00145246,0.00145246
15,39.2777,0.83144,0.873,1.08514,0.98756,0.95,0.99045,0.83407,0.69986,0.69153,1.03032,0.00143595,0.00143595,0.00143595
16,41.521,0.72315,0.73239,1.01412,0.94636,0.99229,0.99045,0.8591,0.63896,0.68316,1.00391,0.00141945,0.00141945,0.00141945
17,43.7424,0.73873,0.7512,1.01549,0.97199,0.98871,0.99472,0.85321,0.61316,0.6901,0.97631,0.00140295,0.00140295,0.00140295
18,45.907,0.74015,0.72263,1.01699,0.93234,1,0.99063,0.82846,0.6984,0.61707,1.03916,0.00138644,0.00138644,0.00138644
